,age
639,1988
640,1987
641,1977
642,1991
643,1981
644,1986
645,1983
646,1977
647,2000
648,1946
649,1961
650,1979
651,2008
652,1956
653,1962
654,1975
655,2006
656,2007
657,2002
658,2001
659,2000
660,2006
661,2003
662,2000
663,1997
664,1999
665,2001
666,2004
667,2002
668,2005
669,2004
670,2005
671,2003
672,2003
673,2005
674,2005
675,2000
676,2003
677,2006
678,2006
679,2002
680,1989
681,2003
682,2003
683,2000
684,1996
685,2005
686,2000
687,2000
688,1978
689,1998
690,2003
691,1996
692,1901
693,1997
694,1997
695,2005
696,2001
697,2005
698,1998
699,1999
700,1999
701,2001
702,2003
703,1991
704,2004
705,1988
706,1998
707,1988
708,1999
709,1995
710,2002
711,1994
712,1998
713,1992
714,1991
715,1990
716,1991
717,1995
718,1970
719,1994
720,1999
721,1994
722,1979
723,2000
724,1993
725,1983
726,1992
727,1970
728,1994
729,2005
730,1992
731,1998
732,1986
733,2004
734,1992
735,1986
736,1971
737,1971
738,1981
739,1990
740,1987
741,1989
742,1976
743,1991
744,1986
745,1975
746,1980
747,1995
748,1985
749,1985
750,1961
751,2006
752,2002
753,1974
754,2005
755,1972
756,2002
757,2001
758,2003
759,2001
760,2007
761,2001
762,1965
763,2002
764,1991
765,1996
766,1996
767,2003
768,2006
769,2003
770,2004
771,2004
772,2001
773,2005
774,2003
775,2003
776,2005
777,2002
778,2004
779,2003
780,1999
781,2005
782,1996
783,2006
784,2006
785,1997
786,1954
787,1999
788,2003
789,2004
790,2003
791,1998
792,1998
793,1996
794,2002
795,1996
796,1998
797,2001
798,2002
799,1928
800,2001
801,2000
802,2003
803,1995
804,2004
805,1975
806,1993
807,1997
808,1990
809,1999
810,2000
811,2003
812,1994
813,1990
814,1995
815,2002
816,1991
817,1995
818,2001
819,1996
820,2000
821,2004
822,1991
823,2006
824,1992
825,1992
826,1992
827,1992
828,2004
829,1984
830,1991
831,1987
832,1989
833,1985
834,1987
835,1999
836,1985
837,2002
838,1989
839,1995
840,1948
841,1989
842,1983
843,1985
844,2000
845,1988
846,2002
847,2006
848,2003
849,2005
850,2002
851,2005
852,2004
853,2006
854,2009
855,2004
856,2002
857,2005
858,1902
859,2003
860,2001
861,1998
862,2002
863,1996
864,1997
865,2000
866,2005
867,2005
868,2003
869,2004
870,2004
871,1994
872,2004
873,2004
874,1991
875,2000
876,2004
877,2002
878,2000
879,1999
880,1990
881,2004
882,1995
883,1997
884,2005
885,1998
886,1997
887,2000
888,2003
889,1998
890,1996
891,1987
892,1975
893,1995
894,1991
895,1997
896,2005
897,2003
898,1999
899,1901
900,1981
901,1997
902,1996
903,1973
904,1999
905,2004
906,1982
907,1993
908,2001
909,1980
910,1980
911,1991
912,1997
913,1991
914,1902
915,1975
916,1978
917,1980
918,1992
919,1999
920,1995
921,1989
922,1995
923,2005
924,1951
925,1991
926,1985
927,1993
928,1990
929,2005
930,1994
931,2006
932,1993
933,1992
934,1938
935,1990
936,1968
937,1996
938,1989
939,1978
940,2005
941,1991
942,1981
943,1992
944,1989
945,1989
946,1979
947,1989
948,1991
949,2000
950,1998
951,1995
952,2000
953,1963
954,1982
955,1980
956,1993
957,1976
958,1987
959,2000
960,2003
961,1998
962,1999
963,2000
964,2003
965,2002
966,1995
967,2005
968,2002
969,1988
970,2004
971,2002
972,2004
973,2002
974,2005
975,2005
976,2002
977,2003
978,2006
979,2004
980,2003
981,2000
982,1961
983,1987
984,2006
985,2006
986,2002
987,2002
988,2001
989,2004
990,1992
991,2006
992,2000
993,1999
994,2000
995,2006
996,2002
997,1992
998,1999
999,1999
1000,2002
1001,2000
1002,2001
1003,2002
1004,1996
1005,1987
1006,2001
1007,1999
1008,1995
1009,2001
1010,1999
1011,2000
1012,1996
1013,1998
1014,1997
1015,2003
1016,2005
1017,1988
1018,1997
1019,1917
1020,1995
1021,1995
1022,2000
1023,2002
1024,1996
1025,1995
1026,1994
1027,2009
1028,1996
1029,1959
1030,2002
1031,1994
1032,1992
1033,1995
1034,2009
1035,1972
1036,2001
1037,1993
1038,1985
1039,1990
1040,1991
1041,1998
1042,1990
1043,1993
1044,1989
1045,1988
1046,1973
1047,1979
1048,2002
1049,2000
1050,1988
1051,2001
1052,2001
1053,1965
1054,2006
1055,1957
1056,1970
1057,2004
1058,2005
1059,2000
1060,2000
1061,2001
1062,1994
1063,2003
1064,2001
1065,1999
1066,2003
1067,2003
1068,2004
1069,1997
1070,2001
1071,2003
1072,1999
1073,2007
1074,2003
1075,2003
1076,2000
1077,2004
1078,1954
1079,2000
1080,2002
1081,1999
1082,2006
1083,2007
1084,2002
1085,2002
1086,2002
1087,2005
1088,2000
1089,2002
1090,2003
1091,2003
1092,2004
1093,2005
1094,2003
1095,1996
1096,2002
1097,1993
1098,2004
1099,2005
1100,2003
1101,2001
1102,2000
1103,1989
1104,1997
1105,1997
1106,1901
1107,2001
1108,2004
1109,2007
1110,1988
1111,2004
1112,2003
1113,1989
1114,2005
1115,2005
1116,2002
1117,2002
1118,1997
1119,1996
1120,1989
1121,1996
1122,1992
1123,1995
1124,1997
1125,1991
1126,2008
1127,1997
1128,2002
1129,1977
1130,1993
1131,2000
1132,2009
1133,1993
1134,1991
1135,1966
1136,1993
1137,1997
1138,1990
1139,1973
1140,1994
1141,1989
1142,2000
1143,1990
1144,1987
1145,2002
1146,1991
1147,1988
1148,1973
1149,1990
1150,2006
1151,1989
1152,1992
1153,2001
1154,1962
1155,1981
1156,1964
1157,2006
1158,1999
1159,1970
1160,1928
1161,2003
1162,2000
1163,1970
1164,2005
1165,2001
1166,2002
1167,2002
1168,2000
1169,2005
1170,2007
1171,2003
1172,2007
1173,2005
1174,2001
1175,2004
1176,2003
1177,2003
1178,2001
1179,2004
1180,2003
1181,2003
1182,2006
1183,2002
1184,2004
1185,2001
1186,2006
1187,2003
1188,1998
1189,2007
1190,1997
1191,2001
1192,2000
1193,2005
1194,2004
1195,2004
1196,2000
1197,2002
1198,2002
1199,1980
1200,2000
1201,2004
1202,2007
1203,2005
1204,2002
1205,1964
1206,1998
1207,2002
1208,2005
1209,1993
1210,1988
1211,2002
1212,2007
1213,2006
1214,2000
1215,2002
1216,1974
1217,1981
1218,1996
1219,2002
1220,2000
1221,2000
1222,2000
1223,1998
1224,1988
1225,2000
1226,1977
1227,1994
1228,1994
1229,1990
1230,1978
1231,1996
1232,1994
1233,1989
1234,2005
1235,1974
1236,2005
1237,2001
1238,1977
1239,1980
1240,1993
1241,1994
1242,1997
1243,1984
1244,1992
1245,1991
1246,1988
1247,2000
1248,1987
1249,1982
1250,1995
1251,2001
1252,1982
1253,1986
1254,1978
1255,1955
1256,1993
1257,2006
1258,1989
1259,2003
1260,1998
1261,2001
1262,2003
1263,2002
1264,2003
1265,2004
1266,1985
1267,2001
1268,2004
1269,2005
1270,2006
1271,2004
1272,2003
1273,1997
1274,2003
1275,1999
1276,1995
1277,2005
1278,2000
1279,2002
1280,1999
1281,2002
1282,2005
1283,2004
1284,2002
1285,2000
1286,2003
1287,2000
1288,2000
1289,1987
1290,2003
1291,2006
1292,2003
1293,2007
1294,1998
1295,1981
1296,1980
1297,1996
1298,1997
1299,2003
1300,2004
1301,2003
1302,1989
1303,1974
1304,1996
1305,2006
1306,1994
1307,2006
1308,1999
1309,2000
1310,2002
1311,1980
1312,1984
1313,1995
1314,2001
1315,1965
1316,1985
1317,2001
1318,1985
1319,1972
1320,1993
1321,1980
1322,1989
1323,2000
1324,1991
1325,2004
1326,1985
1327,1989
1328,1986
1329,1993
1330,1993
1331,1991
1332,1969
