,age
639,1991
640,1988
641,1994
642,1996
643,1991
644,1996
645,2006
646,1963
647,1997
648,1994
649,2005
650,1996
651,1990
652,2006
653,1997
654,1998
655,2003
656,1996
657,1995
658,2004
659,1993
660,2003
661,2004
662,1993
663,1993
664,1986
665,2003
666,1989
667,1998
668,1993
669,1991
670,1999
671,1999
672,1983
673,1993
674,1995
675,1992
676,1997
677,1987
678,1991
679,1987
680,2001
681,1995
682,1986
683,1996
684,1994
685,1992
686,1986
687,2002
688,1997
689,1992
690,1968
691,1993
692,1994
693,1982
694,1993
695,1993
696,1995
697,1987
698,1993
699,1994
700,1995
701,1989
702,1994
703,1902
704,1988
705,1985
706,1991
707,1987
708,1993
709,1987
710,1901
711,2004
712,1994
713,1987
714,1990
715,1987
716,1967
717,1989
718,1990
719,1986
720,1992
721,1989
722,1987
723,1993
724,1989
725,1989
726,1987
727,1991
728,1994
729,1988
730,1991
731,1987
732,1992
733,1990
734,1989
735,1982
736,1989
737,1986
738,1990
739,1989
740,1939
741,1965
742,1986
743,2002
744,1961
745,1989
746,1990
747,1988
748,1980
749,1992
750,1983
751,1956
752,1963
753,1970
754,1981
755,1990
756,2005
757,1997
758,2005
759,2004
760,2005
761,2003
762,2000
763,2004
764,2003
765,2001
766,2004
767,1998
768,1995
769,2008
770,2005
771,2002
772,1993
773,1999
774,2007
775,2004
776,1995
777,2004
778,2001
779,2002
780,1992
781,1997
782,2005
783,2003
784,1997
785,2001
786,1989
787,2002
788,2003
789,1996
790,1994
791,2004
792,2001
793,2001
794,2000
795,2008
796,1999
797,1998
798,1998
799,1999
800,2004
801,1996
802,1996
803,1999
804,1998
805,1998
806,1992
807,1994
808,1996
809,1993
810,2000
811,1996
812,1995
813,1994
814,1997
815,1995
816,1989
817,1991
818,1984
819,1995
820,1994
821,1983
822,1996
823,1997
824,1995
825,1993
826,1993
827,1995
828,2002
829,1960
830,1995
831,1997
832,1995
833,2002
834,1989
835,1987
836,1976
837,1988
838,1994
839,1993
840,1989
841,1989
842,1992
843,1968
844,1991
845,1992
846,1996
847,1991
848,1994
849,2001
850,1992
851,1980
852,1993
853,1992
854,1968
855,1993
856,1989
857,1991
858,2003
859,1987
860,1993
861,1992
862,1992
863,1990
864,1976
865,1987
866,1990
867,1994
868,1994
869,1990
870,1993
871,1993
872,1982
873,1990
874,1987
875,1992
876,1987
877,1991
878,1990
879,1990
880,1989
881,1992
882,1988
883,1989
884,1969
885,1987
886,1989
887,1976
888,1951
889,1987
890,1987
891,1982
892,1961
893,1954
894,1977
895,2006
896,2005
897,2004
898,1976
899,2003
900,2003
901,2002
902,2000
903,2001
904,1992
905,2005
906,2005
907,2002
908,2003
909,2002
910,1983
911,2003
912,2003
913,1999
914,2000
915,2004
916,2007
917,2003
918,2001
919,2003
920,2000
921,2007
922,2005
923,1971
924,2002
925,2004
926,1992
927,1995
928,1997
929,1997
930,1992
931,1992
932,2001
933,1988
934,1997
935,1996
936,1988
937,1996
938,1970
939,1994
940,1990
941,2000
942,1994
943,1994
944,1994
945,1996
946,1997
947,2004
948,1990
949,1996
950,1995
951,1995
952,1998
953,1994
954,1995
955,1993
956,1980
957,1976
958,1997
959,1990
960,1993
961,1992
962,1993
963,1990
964,1992
965,1986
966,1992
967,1996
968,1991
969,1992
970,1992
971,1995
972,1993
973,1991
974,1994
975,1986
976,1978
977,1995
978,1989
979,1990
980,1992
981,1987
982,1971
983,1992
984,1989
985,1987
986,1981
987,1995
988,1989
989,1986
990,1992
991,1993
992,2001
993,1988
994,1990
995,1991
996,1990
997,1992
998,1993
999,1988
1000,1993
1001,1991
1002,1992
1003,1992
1004,1976
1005,1990
1006,1984
1007,1988
1008,1949
1009,1991
1010,1989
1011,1970
1012,1985
1013,1991
1014,1986
1015,1989
1016,1983
1017,1947
1018,1987
1019,1985
1020,1976
1021,2001
1022,1961
1023,2003
1024,2004
1025,2003
1026,2002
1027,2003
1028,2004
1029,2001
1030,2005
1031,2003
1032,2004
1033,2007
1034,2002
1035,2004
1036,2004
1037,2004
1038,1999
1039,2005
1040,1996
1041,1996
1042,2001
1043,2001
1044,2003
1045,2003
1046,2002
1047,1999
1048,2005
1049,2001
1050,1984
1051,1994
1052,2001
1053,1996
1054,1999
1055,2001
1056,1995
1057,2005
1058,1993
1059,1996
1060,1999
1061,1989
1062,1993
1063,1996
1064,2003
1065,1993
1066,1978
1067,1995
1068,1993
1069,2004
1070,1994
1071,1998
1072,2001
1073,1993
1074,1994
1075,1975
1076,1994
1077,1995
1078,1997
1079,1996
1080,1996
1081,1996
1082,1990
1083,1991
1084,1989
1085,1991
1086,1984
1087,1997
1088,1993
1089,1984
1090,1994
1091,1975
1092,1991
1093,1993
1094,1992
1095,2002
1096,1991
1097,1993
1098,1993
1099,1994
1100,1993
1101,1993
1102,1994
1103,1991
1104,1990
1105,1993
1106,1999
1107,1991
1108,1994
1109,1995
1110,1994
1111,1992
1112,1994
1113,2002
1114,1902
1115,1995
1116,1992
1117,1965
1118,1979
1119,1989
1120,1998
1121,1989
1122,1993
1123,1990
1124,1994
1125,1994
1126,1992
1127,1986
1128,1980
1129,1982
1130,1989
1131,1991
1132,1990
1133,1992
1134,1979
1135,1981
1136,1990
1137,1985
1138,1989
1139,1987
1140,1989
1141,1990
1142,1987
1143,1987
1144,1989
1145,1984
1146,1989
1147,1989
1148,1986
1149,2006
1150,1979
1151,1958
1152,2001
1153,2002
1154,2004
1155,2005
1156,1996
1157,2004
1158,2003
1159,2005
1160,2005
1161,1997
1162,2003
1163,2001
1164,2005
1165,1997
1166,2006
1167,2006
1168,2003
1169,1999
1170,2004
1171,2003
1172,2002
1173,2002
1174,1997
1175,1975
1176,1981
1177,1994
1178,1944
1179,1996
1180,2003
1181,1999
1182,2004
1183,1991
1184,2006
1185,2007
1186,2006
1187,1994
1188,1997
1189,1997
1190,1994
1191,1997
1192,1998
1193,1998
1194,1997
1195,1999
1196,1997
1197,2004
1198,2003
